origine,destination,page1_link,page2_link,distance,train_emissions,scraped_url,title,review,rating
Paris Gare de Lyon,Annecy,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,545.0,1.5805,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,“Annecyyyy...!!! Quand tu nous tiens..!!!”,"Vtt sur le Semnoz, pédalo sur le lac, promenade au bord de l'eau (superbe), l'ambiance de la vielle ville, pti resto super sympa... vraiment vraiment bien.... I love Annecy .... :-)",5.0
Paris Gare de Lyon,Annecy,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,545.0,1.5805,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,“evasion”,ville magnifique avec beaucoup de charme quand je vais a annecy j ai l impresssion de ne plus etre en francepas mal de choses a visiter notamment les gorges du fier non loin du centre balade en bateau sur le lac vieille ville typiqueet de tres bons restaurants mais aussi un joli marche le dimanche,5.0
Paris Gare de Lyon,Annecy,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,545.0,1.5805,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,“lac d'annecy”,"Cet endroit est exceptionnel c'est d'ailleurs pour cela que plusieurs personnes traversent la France pour venir apprécier ce lac.Surtout agréable en été avec ses différentes animations dansantes ou artistiques.Lieu de convivialité pour aussi bien se balader, se poser sur la pelouse ou bien faire du pédalo l'été pour pouvoir explorer les différents horizons du lac et ses verdures.",5.0
Paris Gare de Lyon,Annecy,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,545.0,1.5805,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,“Une ville de rêve!!”,"Vous pouvez y trouver tout: les montagnes pour les randonnées, le lac avec de l'eau transparente pour se baigner et les rues anciennes, plein de bâtiments splendides.....",5.0
Paris Gare de Lyon,Annecy,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,545.0,1.5805,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,“Annecy (France)”,"Destination idéale pour ceux qui aiment la baignade (eau du lac excellente et de tres bonne qualité), et la montagne (randonnées de tous niveaux).Cadre magnifique pour passer de tres bonnes vacances",4.0
Paris Gare de Lyon,Annecy,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,545.0,1.5805,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,“Une semaine en Haute-Savoie”,"Mai 2010, besoin de vacances et de dépaysement à petit prix urgent.Je propose donc à mon cher et tendre une virée romantique d'une semaine en Haute-Savoie. Je connaissais la région pour y être aller petite avec mes grand-parents,Nous partons donc sur Internet à la recherche d'un gîte à proximité d'Annecy. Après plusieurs jours de recherche nous trouvons une annonce sur ""le bon coin"", 250 € la semaine pour un P2 à Villard-Dessous(commune de Manigod).Arrivé sur place le spectacle nous laisse sans voix, le paysage est fabuleux, les montagnes face à nous enneigées.Nous avons profiter de notre semaine pour visiter Annecy, faire une ballade en bateau sur le Lac d'Annecy, aller dans une crémerie acheter le nécessaire pour la fondue savoyarde, visiter le Museùm de Genève (1 heure de route), voir le Lac Léman, visiter Yvoire qui est un magnifique petit village médiéval et piéton ! . Nous avons été voir la cascade du Rouget, dite la Reine des Alpes ou nous avons été arrosé d'embruns, visiter La gorge du pont du diable. et encore beaucoup de promenade et marché dans les villages au abord d'annecy. C'est une très belle région que nous conseillons à tous, petit et grand. Il y a de nombreuses activités pour tous les budgets, notre semain nous est revenu à environ 600 €, sorties, essence, péage, nourriture, location gîte compris.Une des choses que nous regrettons : ne pas avoir vu les marmottes !A noter aussi que si vous aimez visiter il faudra rouler.",5.0
Paris Gare de Lyon,Annecy,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,545.0,1.5805,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,“le must en matiere de ville”,cette ville m'enchante depuis une dizaine d'annéestant par son tourisme que par ses habitantscette ville est le reflet parfait de mes vacancesj'ai besoin d'y aller au moins une fois par an pour me resourcer,5.0
Paris Gare de Lyon,Annecy,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,545.0,1.5805,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,“une ville complète!”,"magnifique ville, des activités pour tous: proximité des stations de skis, activités nautiques l'été, une ville culturelle et historique magnifique, et un large choix de shopping!!Note spéciale pour le restaurant le ""20/Vins"" dans la vieille ville (passage Golliardi) , une formule originale pour déguster un large choix de bons vins et des plats diversifiés: du risotto au couscous en passant par la souris d'agneau ou bien un Mont d'or!! en prime, une déco moderne cosy et raffinée!",5.0
Paris Gare de Lyon,Annecy,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,545.0,1.5805,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,“Très agréable”,"Ville très agréable.Pour une promenade sur le lac, il est possible de louer pédalos et autres bateaux avec ou sans moteur, malheureusement une entente sur les prix fausse totalement la concurrence.La ville a décidé de faire les poches des visiteurs grâce au tarif prohibitif des parkings municipaux.La ville s'avère tout à fait adaptée aux personnes âgées ou couples sans enfant(s).",4.0
Paris Gare de Lyon,Annecy,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,545.0,1.5805,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html,“un endroit ou ne plus jamais revenir”,"une jolie ville,entourée de belles montagnes avec un lac magnifique.par contre une trés mauvaise mentalité,un trés mauvais accueille,avec un grand nombre de restaurants ""piege a touriste"" ,les prix sont carrement abusifs et les plats plus que médiocres .les habitants sont froid,sans intéréts,rustres et vraiment mal polies.ils n'ont aucun savoir vivre.ils ne sont absolument pas souriant(méme dans les commerces!).je n'y remettrais plus jamais les pieds.a éviter pour toute personne désirant profité de bonnes vacances.",1.0
Paris Gare de Lyon,Zuerich HB,https://www.tripadvisor.fr/ShowUserReviews-g188113-r110402149-Zurich.html,,614.0,2.0876,https://www.tripadvisor.fr/ShowUserReviews-g188113-r110402149-Zurich.html,“Zurich le temps d'un weekend”,"Une ville riche et agréable ou le centre historique côtoie les magasins chics, le lac et les chaines de montagnes finissent de planter le décor.",5.0
Paris Gare de Lyon,Zuerich HB,https://www.tripadvisor.fr/ShowUserReviews-g188113-r110402149-Zurich.html,,614.0,2.0876,https://www.tripadvisor.fr/ShowUserReviews-g188113-r110402149-Zurich.html,,,
Paris Gare de Lyon,Zuerich HB,https://www.tripadvisor.fr/ShowUserReviews-g188113-r110402149-Zurich.html,,614.0,2.0876,https://www.tripadvisor.fr/ShowUserReviews-g188113-r110402149-Zurich.html,,,
Paris Gare de Lyon,Zuerich HB,https://www.tripadvisor.fr/ShowUserReviews-g188113-r110402149-Zurich.html,,614.0,2.0876,https://www.tripadvisor.fr/ShowUserReviews-g188113-r110402149-Zurich.html,,,
Paris Gare de Lyon,Zuerich HB,https://www.tripadvisor.fr/ShowUserReviews-g188113-r110402149-Zurich.html,,614.0,2.0876,https://www.tripadvisor.fr/ShowUserReviews-g188113-r110402149-Zurich.html,,,
Paris Saint-Lazare,Rouen Rive Droite,https://www.tripadvisor.fr/ShowUserReviews-g187191-r88211602-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187191-r87879158-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS,139.0,3.3916,https://www.tripadvisor.fr/ShowUserReviews-g187191-r88211602-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS,“la cathédrale est de plus en plus belle!”,"il faisait un temps moyen,mais le poissonnier de la place du vieux-marché était de bonne humeur et les coquilles Saint-jacques délicieuses!",5.0
Paris Saint-Lazare,Rouen Rive Droite,https://www.tripadvisor.fr/ShowUserReviews-g187191-r88211602-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187191-r87879158-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS,139.0,3.3916,https://www.tripadvisor.fr/ShowUserReviews-g187191-r88211602-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS,"“L'histoire, l'impressionnisme, tout y est”","Une ville magnifique remplie de monuments historiques. La Cathédrale Notre Dame, L'abbaye de Saint-Ouen, L'église Saint Maclou, tout ce qui est lié avec Jeanne d'Arc, rue du Gros Horloge que j'aime particulièrement, de nombreux musées, surtout le musée des beaux-arts, mon préféré. Il abrite une de plus belles collections des peintres impressionnistes et cet été une magnifique exposition y a été organisée consacrée à ces peintres avce les chef-d'œuvres qui ont immortalisé cette ville, une salle entière consacrée à la Cathédrale de Strasbourg de Monet",5.0
Paris Saint-Lazare,Rouen Rive Droite,https://www.tripadvisor.fr/ShowUserReviews-g187191-r88211602-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187191-r87879158-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS,139.0,3.3916,https://www.tripadvisor.fr/ShowUserReviews-g187191-r88211602-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS,“jolie vieille ville”,"ville sympathique où l'on peut flaner à travers les petites rues ornées de maisons en colombages et de sculpture, levez la tête",4.0
